model,chromosome,fitness
ParticleNet-model0,"(128, 'Adam', 0.0018, 0.00011, 'ExponentialLR')",0.0004186627178542
ParticleNet-model1,"(128, 'RMSprop', 0.0002, 8e-05, 'ExponentialLR')",0.0004191659954978
ParticleNet-model2,"(128, 'Adam', 0.0018, 0.00011, 'ExponentialLR')",0.0004189194244534
ParticleNet-model3,"(128, 'RMSprop', 0.0002, 0.00011, 'CyclicLR')",0.000423574590723
ParticleNet-model4,"(64, 'Adam', 0.0024, 0.00011, 'ExponentialLR')",0.0004229296757101
ParticleNet-model5,"(128, 'RMSprop', 0.0018, 0.00011, 'ExponentialLR')",0.0004510016507979
ParticleNet-model6,"(128, 'Adam', 0.0018, 0.00011, 'ReduceLROnPlateau')",0.0004196420489201
ParticleNet-model7,"(128, 'Adam', 0.0018, 0.00011, 'ExponentialLR')",0.0004189224860279
ParticleNet-model8,"(128, 'RMSprop', 0.0002, 0.00033, 'ReduceLROnPlateau')",0.0004298611118276
ParticleNet-model9,"(128, 'RMSprop', 0.0002, 8e-05, 'ReduceLROnPlateau')",0.0004192733295763
ParticleNet-model10,"(64, 'RMSprop', 0.0018, 0.00011, 'ExponentialLR')",0.0004616448679474
ParticleNet-model11,"(64, 'Adam', 0.0007, 0.00012, 'ReduceLROnPlateau')",0.0004243700241734
ParticleNet-model12,"(128, 'Adadelta', 0.0018, 0.00011, 'ExponentialLR')",0.0005540810957998
ParticleNet-model13,"(64, 'Adam', 0.0002, 1e-05, 'ExponentialLR')",0.0004454211888322
ParticleNet-model14,"(64, 'Adam', 0.0018, 0.00011, 'ExponentialLR')",0.0004246061322582
ParticleNet-model15,"(128, 'Adam', 0.0024, 0.00011, 'ExponentialLR')",0.0004201083832534
