model,chromosome,fitness
ParticleNet-model0,"(128, 'Adadelta', 0.0046, 0.0038, 'ReduceLROnPlateau')",0.0006061330039301
ParticleNet-model1,"(96, 'RMSprop', 0.0028, 0.00162, 'ReduceLROnPlateau')",0.0005954304325757
ParticleNet-model2,"(96, 'Adam', 0.0066, 5e-05, 'ReduceLROnPlateau')",0.0005594765985084
ParticleNet-model3,"(64, 'Adadelta', 0.0002, 0.00056, 'ExponentialLR')",0.0006803929097914
ParticleNet-model4,"(128, 'Adam', 0.0001, 0.00211, 'ExponentialLR')",0.0005595711928699
ParticleNet-model5,"(128, 'Adam', 0.0006, 0.00626, 'ExponentialLR')",0.0005509825398561
ParticleNet-model6,"(128, 'Adadelta', 0.0059, 6e-05, 'ReduceLROnPlateau')",0.0006036939025433
ParticleNet-model7,"(96, 'Adadelta', 0.0002, 0.00019, 'ExponentialLR')",0.0006810334391176
ParticleNet-model8,"(96, 'Adadelta', 0.0044, 0.00021, 'CyclicLR')",0.0006121861408066
ParticleNet-model9,"(128, 'Adadelta', 0.0049, 3e-05, 'ReduceLROnPlateau')",0.0006133429987804
ParticleNet-model10,"(96, 'Adadelta', 0.0006, 0.00124, 'ExponentialLR')",0.0006757068524841
ParticleNet-model11,"(128, 'Adam', 0.0001, 0.00022, 'CyclicLR')",0.0005545998931515
ParticleNet-model12,"(96, 'Adam', 0.0003, 0.00928, 'ReduceLROnPlateau')",0.0005531048705522
ParticleNet-model13,"(96, 'Adam', 0.0006, 0.00593, 'CyclicLR')",0.0005548864798254
ParticleNet-model14,"(64, 'Adadelta', 0.0001, 0.00129, 'ReduceLROnPlateau')",0.0006912868537007
ParticleNet-model15,"(64, 'Adam', 0.0001, 0.00058, 'ReduceLROnPlateau')",0.0005650820141339
