model,chromosome,fitness
ParticleNet-model0,"(128, 'Adam', 0.001, 0.00013, 'ExponentialLR')",0.0005412894053956
ParticleNet-model1,"(128, 'Adam', 0.0013, 4e-05, 'ReduceLROnPlateau')",0.0005421382904407
ParticleNet-model2,"(96, 'Adam', 0.0025, 4e-05, 'ReduceLROnPlateau')",0.0005451021174514
ParticleNet-model3,"(128, 'Adam', 0.007, 3e-05, 'ExponentialLR')",0.0005488911445162
ParticleNet-model4,"(64, 'Adam', 0.0005, 0.00033, 'ExponentialLR')",0.0005483533520255
ParticleNet-model5,"(128, 'Adam', 0.001, 4e-05, 'ReduceLROnPlateau')",0.0005444003273733
ParticleNet-model6,"(96, 'RMSprop', 0.0005, 0.00929, 'ExponentialLR')",0.0005987095707743
ParticleNet-model7,"(96, 'Adadelta', 0.0016, 6e-05, 'ReduceLROnPlateau')",0.000626127457684
ParticleNet-model8,"(128, 'Adam', 0.0003, 4e-05, 'ReduceLROnPlateau')",0.0005430180657302
ParticleNet-model9,"(128, 'Adam', 0.001, 0.00033, 'ExponentialLR')",0.0005431686872287
ParticleNet-model10,"(96, 'Adam', 0.001, 0.00013, 'ReduceLROnPlateau')",0.0005445404865905
ParticleNet-model11,"(64, 'Adam', 0.0027, 0.00161, 'CyclicLR')",0.0005714812105599
ParticleNet-model12,"(128, 'RMSprop', 0.0015, 3e-05, 'ExponentialLR')",0.0005565348611726
ParticleNet-model13,"(128, 'RMSprop', 0.0025, 4e-05, 'ExponentialLR')",0.0005738897685757
ParticleNet-model14,"(64, 'Adam', 0.0002, 0.00161, 'ReduceLROnPlateau')",0.0005525979948358
ParticleNet-model15,"(96, 'RMSprop', 0.0017, 0.00069, 'ExponentialLR')",0.0006075574996572
