model,chromosome,fitness
ParticleNet-model0,"(64, 'RMSprop', 0.0001, 0.00055, 'ReduceLROnPlateau')",0.0004409802851662
ParticleNet-model1,"(96, 'Adam', 0.0017, 5e-05, 'ReduceLROnPlateau')",0.0004273570855318
ParticleNet-model2,"(64, 'RMSprop', 0.0001, 0.00055, 'ReduceLROnPlateau')",0.0004310030911797
ParticleNet-model3,"(64, 'Adam', 0.0017, 5e-05, 'CyclicLR')",0.0004337622141862
ParticleNet-model4,"(96, 'Adam', 0.0003, 6e-05, 'ReduceLROnPlateau')",0.000434011253714
ParticleNet-model5,"(64, 'Adam', 0.0023, 5e-05, 'CyclicLR')",0.000435993367821
ParticleNet-model6,"(96, 'Adam', 0.0017, 6e-05, 'ReduceLROnPlateau')",0.000425554883126
ParticleNet-model7,"(64, 'Adam', 0.0092, 5e-05, 'ReduceLROnPlateau')",0.0004424939340434
ParticleNet-model8,"(96, 'Adadelta', 0.0001, 0.00265, 'ExponentialLR')",0.0006723602745091
ParticleNet-model9,"(96, 'RMSprop', 0.0001, 6e-05, 'ReduceLROnPlateau')",0.0004305252032709
ParticleNet-model10,"(64, 'RMSprop', 0.0017, 0.00055, 'CyclicLR')",0.0004524181539835
ParticleNet-model11,"(64, 'Adam', 0.0017, 0.00238, 'CyclicLR')",0.0004496985812106
ParticleNet-model12,"(64, 'Adam', 0.0017, 0.00055, 'ReduceLROnPlateau')",0.0004414665864123
ParticleNet-model13,"(96, 'Adam', 0.0001, 5e-05, 'ReduceLROnPlateau')",0.0004455644031525
ParticleNet-model14,"(96, 'Adam', 0.0012, 5e-05, 'ReduceLROnPlateau')",0.0004271520658096
ParticleNet-model15,"(96, 'RMSprop', 0.0001, 0.00547, 'ReduceLROnPlateau')",0.0004473448654603
