model,chromosome,fitness
ParticleNet-model0,"(96, 'Adam', 0.0018, 6e-05, 'ExponentialLR')",0.0005123054230109
ParticleNet-model1,"(128, 'Adam', 0.0002, 2e-05, 'CyclicLR')",0.0005149264947785
ParticleNet-model2,"(128, 'Adam', 0.0008, 0.00038, 'ReduceLROnPlateau')",0.0005143518005319
ParticleNet-model3,"(64, 'Adam', 0.0005, 0.00036, 'ExponentialLR')",0.0005171175417357
ParticleNet-model4,"(64, 'RMSprop', 0.0001, 0.00018, 'CyclicLR')",0.0005181145541838
ParticleNet-model5,"(96, 'Adam', 0.0018, 6e-05, 'ExponentialLR')",0.0005130650477305
ParticleNet-model6,"(64, 'RMSprop', 0.0003, 2e-05, 'ExponentialLR')",0.0005154019828343
ParticleNet-model7,"(64, 'RMSprop', 0.001, 0.00028, 'ExponentialLR')",0.0005561526946212
ParticleNet-model8,"(128, 'Adam', 0.0008, 0.00056, 'CyclicLR')",0.0005233986015376
ParticleNet-model9,"(128, 'RMSprop', 0.0008, 0.00034, 'CyclicLR')",0.0005313338051673
ParticleNet-model10,"(128, 'Adam', 0.0002, 0.00036, 'CyclicLR')",0.0005131637050063
ParticleNet-model11,"(128, 'Adam', 0.0002, 2e-05, 'ExponentialLR')",0.0005195928054151
ParticleNet-model12,"(128, 'Adam', 0.0002, 0.00038, 'ReduceLROnPlateau')",0.0005123852966909
ParticleNet-model13,"(96, 'RMSprop', 0.0009, 0.00018, 'CyclicLR')",0.0005391565121243
ParticleNet-model14,"(96, 'Adam', 0.0011, 6e-05, 'CyclicLR')",0.0005149249605907
ParticleNet-model15,"(64, 'Adam', 0.0008, 0.0006, 'CyclicLR')",0.0005236989167296
