model,chromosome,fitness
ParticleNet-model0,"(128, 'Adam', 0.0004, 8e-05, 'ExponentialLR')",0.0005329853065565
ParticleNet-model1,"(128, 'RMSprop', 0.0002, 0.00017, 'CyclicLR')",0.0005396549573539
ParticleNet-model2,"(64, 'Adam', 0.0021, 0.00027, 'ExponentialLR')",0.0005390569807849
ParticleNet-model3,"(96, 'RMSprop', 0.0001, 0.00643, 'CyclicLR')",0.0005578193432341
ParticleNet-model4,"(96, 'RMSprop', 0.0002, 0.00298, 'ExponentialLR')",0.0005612257743011
ParticleNet-model5,"(128, 'Adam', 0.0021, 0.00017, 'ExponentialLR')",0.0005341913380305
ParticleNet-model6,"(64, 'Adam', 0.0065, 0.00011, 'ExponentialLR')",0.0005498089272158
ParticleNet-model7,"(128, 'RMSprop', 0.0004, 0.00035, 'ReduceLROnPlateau')",0.0005583063349725
ParticleNet-model8,"(96, 'RMSprop', 0.0014, 0.00298, 'ReduceLROnPlateau')",0.0006061540058815
ParticleNet-model9,"(64, 'Adam', 0.0021, 0.00643, 'CyclicLR')",0.0005782952561144
ParticleNet-model10,"(96, 'RMSprop', 0.0004, 0.00298, 'ExponentialLR')",0.0005836838401161
ParticleNet-model11,"(128, 'RMSprop', 0.0004, 0.00017, 'ExponentialLR')",0.0005521229573121
ParticleNet-model12,"(64, 'Adam', 0.0032, 1e-05, 'CyclicLR')",0.0005387174483271
ParticleNet-model13,"(64, 'RMSprop', 0.0098, 0.0004, 'ReduceLROnPlateau')",0.0006226603642435
ParticleNet-model14,"(96, 'RMSprop', 0.0028, 0.00036, 'ExponentialLR')",0.0005821982711992
ParticleNet-model15,"(128, 'RMSprop', 0.0085, 0.00126, 'ExponentialLR')",0.0006125860283707
