model,chromosome,fitness
ParticleNet-model0,"(128, 'Adam', 0.0006, 0.0003, 'ExponentialLR')",0.0004200204504562
ParticleNet-model1,"(128, 'Adam', 0.0019, 0.0003, 'ExponentialLR')",0.0004193552444012
ParticleNet-model2,"(96, 'RMSprop', 0.0001, 0.0005, 'ExponentialLR')",0.0004210712931853
ParticleNet-model3,"(64, 'Adam', 0.001, 0.00022, 'ReduceLROnPlateau')",0.0004214722856553
ParticleNet-model4,"(64, 'Adam', 0.0004, 0.00191, 'CyclicLR')",0.0004239660765778
ParticleNet-model5,"(96, 'RMSprop', 0.0019, 0.00056, 'CyclicLR')",0.0004443798238794
ParticleNet-model6,"(64, 'RMSprop', 0.002, 3e-05, 'ReduceLROnPlateau')",0.0004615951219203
ParticleNet-model7,"(128, 'Adam', 0.0006, 0.00191, 'ExponentialLR')",0.0004204257810403
ParticleNet-model8,"(128, 'RMSprop', 0.0001, 3e-05, 'ExponentialLR')",0.0004186149985989
ParticleNet-model9,"(96, 'RMSprop', 0.0038, 3e-05, 'CyclicLR')",0.0004409810702888
ParticleNet-model10,"(128, 'RMSprop', 0.0009, 0.0003, 'ExponentialLR')",0.0004403153188418
ParticleNet-model11,"(128, 'Adam', 0.001, 0.00022, 'ReduceLROnPlateau')",0.0004201735461466
ParticleNet-model12,"(96, 'Adam', 0.0026, 0.00022, 'ReduceLROnPlateau')",0.0004217612696217
ParticleNet-model13,"(128, 'Adam', 0.001, 3e-05, 'ReduceLROnPlateau')",0.0004188090139569
ParticleNet-model14,"(128, 'RMSprop', 0.0004, 0.00191, 'ExponentialLR')",0.0004431391923683
ParticleNet-model15,"(64, 'Adam', 0.0006, 0.00191, 'ExponentialLR')",0.0004233200355807
