model,chromosome,fitness
ParticleNet-model0,"(128, 'Adam', 0.001, 0.00067, 'ReduceLROnPlateau')",0.0004224119102385
ParticleNet-model1,"(96, 'Adam', 0.0008, 0.00016, 'CyclicLR')",0.0004231143410377
ParticleNet-model2,"(128, 'Adam', 0.0046, 2e-05, 'ExponentialLR')",0.0004258049184568
ParticleNet-model3,"(64, 'Adam', 0.0002, 3e-05, 'ReduceLROnPlateau')",0.0004274427241971
ParticleNet-model4,"(96, 'Adam', 0.0012, 0.00045, 'ReduceLROnPlateau')",0.0004246731897842
ParticleNet-model5,"(64, 'Adadelta', 0.0058, 2e-05, 'ReduceLROnPlateau')",0.0004652931365445
ParticleNet-model6,"(128, 'Adam', 0.0016, 3e-05, 'ReduceLROnPlateau')",0.0004209873137221
ParticleNet-model7,"(96, 'Adam', 0.0008, 0.00016, 'CyclicLR')",0.0004218040928956
ParticleNet-model8,"(64, 'Adam', 0.0049, 3e-05, 'ExponentialLR')",0.0004237195565261
ParticleNet-model9,"(96, 'Adam', 0.0007, 0.00016, 'CyclicLR')",0.000423146974029
ParticleNet-model10,"(128, 'Adam', 0.0046, 4e-05, 'ExponentialLR')",0.0004298497309062
ParticleNet-model11,"(128, 'RMSprop', 0.001, 2e-05, 'ReduceLROnPlateau')",0.0004339205905564
ParticleNet-model12,"(128, 'Adadelta', 0.0002, 0.00011, 'ReduceLROnPlateau')",0.0005498352075347
ParticleNet-model13,"(64, 'RMSprop', 0.0002, 0.00037, 'ReduceLROnPlateau')",0.0004263165995518
ParticleNet-model14,"(128, 'Adadelta', 0.0016, 0.00011, 'CyclicLR')",0.0004826924403531
ParticleNet-model15,"(96, 'Adam', 0.001, 0.00067, 'ReduceLROnPlateau')",0.000428410406871
