model,chromosome,fitness
ParticleNet-model0,"(128, 'Adam', 0.0013, 0.00018, 'ReduceLROnPlateau')",0.0005096573529093
ParticleNet-model1,"(128, 'Adam', 0.0013, 0.00018, 'ReduceLROnPlateau')",0.0005102234592663
ParticleNet-model2,"(96, 'Adam', 0.0014, 0.00035, 'ExponentialLR')",0.000509324533653
ParticleNet-model3,"(64, 'Adam', 0.0008, 0.00064, 'ExponentialLR')",0.0005127291639476
ParticleNet-model4,"(96, 'Adam', 0.0004, 0.00164, 'ReduceLROnPlateau')",0.0005111497968403
ParticleNet-model5,"(64, 'Adam', 0.0008, 0.00164, 'ExponentialLR')",0.0005139690134021
ParticleNet-model6,"(64, 'Adam', 0.0008, 0.00064, 'CyclicLR')",0.0005162783457989
ParticleNet-model7,"(64, 'Adam', 0.0008, 0.00064, 'ReduceLROnPlateau')",0.0005164380194213
ParticleNet-model8,"(64, 'Adam', 0.0011, 0.00064, 'CyclicLR')",0.0005193137400461
ParticleNet-model9,"(64, 'Adadelta', 0.0011, 2e-05, 'CyclicLR')",0.0006516996434593
ParticleNet-model10,"(96, 'Adam', 0.0086, 2e-05, 'CyclicLR')",0.0005219138153174
ParticleNet-model11,"(64, 'Adadelta', 0.0004, 0.00164, 'ReduceLROnPlateau')",0.0006671136357959
ParticleNet-model12,"(128, 'Adam', 0.0013, 0.00018, 'ReduceLROnPlateau')",0.0005090866182454
ParticleNet-model13,"(64, 'Adam', 0.0011, 0.00023, 'CyclicLR')",0.0005154858953957
ParticleNet-model14,"(96, 'Adam', 0.0013, 0.00035, 'ReduceLROnPlateau')",0.0005104039569051
ParticleNet-model15,"(128, 'Adam', 0.0008, 0.00018, 'ExponentialLR')",0.000508098835947
