model,chromosome,fitness
ParticleNet-model0,"(96, 'Adam', 0.0019, 3e-05, 'ReduceLROnPlateau')",0.0004436942966553
ParticleNet-model1,"(96, 'Adam', 0.0009, 3e-05, 'CyclicLR')",0.0004435506046565
ParticleNet-model2,"(96, 'Adam', 0.0009, 3e-05, 'CyclicLR')",0.0004434800342438
ParticleNet-model3,"(128, 'Adam', 0.0044, 2e-05, 'ReduceLROnPlateau')",0.0004442757879434
ParticleNet-model4,"(96, 'Adam', 0.0004, 4e-05, 'CyclicLR')",0.0004437064623087
ParticleNet-model5,"(96, 'Adam', 0.001, 3e-05, 'CyclicLR')",0.0004438935550461
ParticleNet-model6,"(96, 'Adadelta', 0.0001, 3e-05, 'CyclicLR')",0.000591237003352
ParticleNet-model7,"(128, 'Adam', 0.0071, 0.0029, 'CyclicLR')",0.0004672637985393
ParticleNet-model8,"(64, 'Adam', 0.0001, 0.00105, 'ReduceLROnPlateau')",0.0004507884730058
ParticleNet-model9,"(64, 'Adam', 0.0005, 3e-05, 'ReduceLROnPlateau')",0.0004458424088937
ParticleNet-model10,"(96, 'Adam', 0.0009, 3e-05, 'CyclicLR')",0.0004436406448193
ParticleNet-model11,"(96, 'Adam', 0.0044, 3e-05, 'ReduceLROnPlateau')",0.0004441636712576
ParticleNet-model12,"(128, 'Adam', 0.0044, 2e-05, 'ReduceLROnPlateau')",0.0004462802131014
ParticleNet-model13,"(96, 'Adam', 0.0033, 3e-05, 'ReduceLROnPlateau')",0.0004440390811951
ParticleNet-model14,"(64, 'Adam', 0.0009, 3e-05, 'CyclicLR')",0.0004447154012816
ParticleNet-model15,"(96, 'Adam', 0.0044, 0.0029, 'CyclicLR')",0.0004658781156478
