model,chromosome,fitness
ParticleNet-model0,"(128, 'Adam', 0.0003, 0.00211, 'ReduceLROnPlateau')",0.0005426431071365
ParticleNet-model1,"(128, 'Adam', 0.0006, 0.00211, 'ExponentialLR')",0.0005421843262688
ParticleNet-model2,"(128, 'Adam', 0.0003, 0.00211, 'CyclicLR')",0.000547405203376
ParticleNet-model3,"(96, 'Adam', 0.0002, 0.00022, 'CyclicLR')",0.0005477940817841
ParticleNet-model4,"(128, 'Adam', 0.0003, 0.00211, 'CyclicLR')",0.0005472475873711
ParticleNet-model5,"(128, 'Adam', 0.0002, 0.00022, 'CyclicLR')",0.0005442773450524
ParticleNet-model6,"(128, 'Adam', 0.0003, 0.00211, 'CyclicLR')",0.0005488019598877
ParticleNet-model7,"(128, 'Adam', 0.0046, 0.001, 'ReduceLROnPlateau')",0.0005753144537733
ParticleNet-model8,"(128, 'Adam', 0.0006, 0.00211, 'ExponentialLR')",0.0005436758739408
ParticleNet-model9,"(128, 'Adam', 0.0063, 3e-05, 'ReduceLROnPlateau')",0.0005572948163215
ParticleNet-model10,"(96, 'Adam', 0.0002, 0.00022, 'CyclicLR')",0.0005465521313395
ParticleNet-model11,"(96, 'Adam', 0.0006, 0.00626, 'ReduceLROnPlateau')",0.0005516371728322
ParticleNet-model12,"(96, 'Adam', 0.0006, 0.00211, 'ReduceLROnPlateau')",0.0005484279255057
ParticleNet-model13,"(128, 'Adam', 0.0003, 0.00022, 'CyclicLR')",0.0005436123753777
ParticleNet-model14,"(96, 'Adam', 0.0002, 0.00211, 'ReduceLROnPlateau')",0.0005451977714802
ParticleNet-model15,"(96, 'Adam', 0.0066, 0.00204, 'CyclicLR')",0.0005856820013477
