model,chromosome,fitness
ParticleNet-model0,"(64, 'RMSprop', 0.0014, 2e-05, 'ExponentialLR')",0.0005651397994257
ParticleNet-model1,"(96, 'RMSprop', 0.0014, 0.00298, 'ExponentialLR')",0.0006001283190885
ParticleNet-model2,"(128, 'Adam', 0.0004, 8e-05, 'ExponentialLR')",0.000531653237746
ParticleNet-model3,"(128, 'RMSprop', 0.0085, 0.00126, 'ExponentialLR')",0.000620250145642
ParticleNet-model4,"(128, 'Adadelta', 0.0013, 2e-05, 'CyclicLR')",0.0006383925522332
ParticleNet-model5,"(96, 'Adadelta', 0.0014, 3e-05, 'ExponentialLR')",0.000668413331713
ParticleNet-model6,"(96, 'RMSprop', 0.0002, 0.00298, 'ExponentialLR')",0.0005572404395262
ParticleNet-model7,"(64, 'Adam', 0.0021, 0.00027, 'ExponentialLR')",0.000541469628907
ParticleNet-model8,"(64, 'RMSprop', 0.0032, 1e-05, 'ReduceLROnPlateau')",0.0005839465005301
ParticleNet-model9,"(128, 'RMSprop', 0.0004, 0.00238, 'ExponentialLR')",0.000581723449937
ParticleNet-model10,"(64, 'RMSprop', 0.0065, 0.00011, 'ReduceLROnPlateau')",0.0005908869668182
ParticleNet-model11,"(128, 'RMSprop', 0.0002, 0.00017, 'CyclicLR')",0.000538338732845
ParticleNet-model12,"(128, 'RMSprop', 0.0085, 0.00026, 'ReduceLROnPlateau')",0.0006127942508262
ParticleNet-model13,"(64, 'Adam', 0.0037, 0.00036, 'ExponentialLR')",0.0005601949298261
ParticleNet-model14,"(96, 'RMSprop', 0.0028, 0.00011, 'ReduceLROnPlateau')",0.0005748842069379
ParticleNet-model15,"(96, 'RMSprop', 0.0001, 0.00643, 'CyclicLR')",0.0005529774147048
