model,chromosome,fitness
ParticleNet-model0,"(96, 'Adam', 0.0003, 8e-05, 'ExponentialLR')",0.0005318363573115
ParticleNet-model1,"(128, 'Adam', 0.0008, 0.00208, 'CyclicLR')",0.0005425384166209
ParticleNet-model2,"(128, 'RMSprop', 0.0006, 0.00041, 'ExponentialLR')",0.00055836672269
ParticleNet-model3,"(128, 'Adam', 0.008, 0.00081, 'ReduceLROnPlateau')",0.0005534807338702
ParticleNet-model4,"(96, 'Adadelta', 0.0074, 0.00362, 'ReduceLROnPlateau')",0.0005779784065566
ParticleNet-model5,"(96, 'RMSprop', 0.008, 4e-05, 'ExponentialLR')",0.0006007103934979
ParticleNet-model6,"(128, 'Adadelta', 0.0078, 5e-05, 'ReduceLROnPlateau')",0.0005837144916016
ParticleNet-model7,"(96, 'Adam', 0.0054, 0.00208, 'ExponentialLR')",0.000569187407497
ParticleNet-model8,"(128, 'Adam', 0.0043, 0.00096, 'ReduceLROnPlateau')",0.0005610237085627
ParticleNet-model9,"(96, 'RMSprop', 0.0006, 0.00041, 'ReduceLROnPlateau')",0.0005705779856985
ParticleNet-model10,"(96, 'Adadelta', 0.008, 0.00023, 'ExponentialLR')",0.0005959579923716
ParticleNet-model11,"(96, 'Adam', 0.0043, 8e-05, 'ExponentialLR')",0.000531542259722
ParticleNet-model12,"(128, 'Adam', 0.0008, 0.00208, 'ExponentialLR')",0.0005400338440481
ParticleNet-model13,"(64, 'Adadelta', 0.0004, 0.00081, 'ReduceLROnPlateau')",0.0006656067827241
ParticleNet-model14,"(96, 'RMSprop', 0.0074, 0.00362, 'ExponentialLR')",0.0006448618698687
ParticleNet-model15,"(96, 'RMSprop', 0.0006, 0.00023, 'ExponentialLR')",0.0005662196841802
