model,chromosome,fitness
ParticleNet-model0,"(128, 'Adam', 0.0009, 0.00021, 'ExponentialLR')",0.0004255641345619
ParticleNet-model1,"(128, 'Adam', 0.0027, 0.00016, 'ExponentialLR')",0.0004353026188131
ParticleNet-model2,"(64, 'Adam', 0.0005, 0.00141, 'ExponentialLR')",0.0004294295637552
ParticleNet-model3,"(64, 'RMSprop', 0.0002, 0.00098, 'ExponentialLR')",0.0004327338218433
ParticleNet-model4,"(96, 'RMSprop', 0.0009, 0.0002, 'ReduceLROnPlateau')",0.0004464356112354
ParticleNet-model5,"(128, 'RMSprop', 0.0009, 0.00021, 'ExponentialLR')",0.0004429381060585
ParticleNet-model6,"(128, 'Adam', 0.0009, 0.00016, 'ExponentialLR')",0.0004247893380185
ParticleNet-model7,"(64, 'RMSprop', 0.0007, 7e-05, 'ReduceLROnPlateau')",0.0004457430553334
ParticleNet-model8,"(128, 'Adam', 0.0005, 0.00089, 'ExponentialLR')",0.0004266517791427
ParticleNet-model9,"(64, 'RMSprop', 0.0002, 0.00021, 'ExponentialLR')",0.0004278194054237
ParticleNet-model10,"(128, 'Adadelta', 0.0009, 0.00021, 'ReduceLROnPlateau')",0.0005117809881017
ParticleNet-model11,"(128, 'RMSprop', 0.0009, 0.00089, 'CyclicLR')",0.0004444035998486
ParticleNet-model12,"(64, 'Adadelta', 0.0005, 0.00141, 'ExponentialLR')",0.0006220762184979
ParticleNet-model13,"(128, 'RMSprop', 0.0073, 0.00098, 'ExponentialLR')",0.0004859865397596
ParticleNet-model14,"(64, 'RMSprop', 0.0002, 0.00098, 'ExponentialLR')",0.0004320465166746
ParticleNet-model15,"(96, 'Adadelta', 0.0007, 0.0002, 'ReduceLROnPlateau')",0.0005246681033277
