model,chromosome,fitness
ParticleNet-model0,"(128, 'Adam', 0.0007, 1e-05, 'CyclicLR')",0.0006175331916711
ParticleNet-model1,"(96, 'Adadelta', 0.0018, 0.00019, 'ExponentialLR')",0.0006725394289701
ParticleNet-model2,"(96, 'Adam', 0.0064, 5e-05, 'ReduceLROnPlateau')",0.0005944058487449
ParticleNet-model3,"(96, 'Adam', 0.0013, 9e-05, 'CyclicLR')",0.0006134308894638
ParticleNet-model4,"(64, 'Adadelta', 0.0002, 9e-05, 'ReduceLROnPlateau')",0.0007036328383928
ParticleNet-model5,"(128, 'Adadelta', 0.0002, 8e-05, 'ExponentialLR')",0.0006864488322608
ParticleNet-model6,"(128, 'Adam', 0.0037, 0.00172, 'ReduceLROnPlateau')",0.0006201947115902
ParticleNet-model7,"(96, 'Adadelta', 0.0002, 2e-05, 'CyclicLR')",0.0006970560790731
ParticleNet-model8,"(96, 'Adam', 0.006, 0.00255, 'ReduceLROnPlateau')",0.000620829967672
ParticleNet-model9,"(96, 'RMSprop', 0.0001, 0.00015, 'ReduceLROnPlateau')",0.00060814550274
ParticleNet-model10,"(96, 'RMSprop', 0.0001, 0.00556, 'ExponentialLR')",0.0006097504705758
ParticleNet-model11,"(96, 'Adadelta', 0.005, 1e-05, 'CyclicLR')",0.0006666925401356
ParticleNet-model12,"(128, 'RMSprop', 0.0019, 0.00012, 'ExponentialLR')",0.000609678661828
ParticleNet-model13,"(64, 'RMSprop', 0.001, 0.00791, 'CyclicLR')",0.0006261881033634
ParticleNet-model14,"(128, 'Adadelta', 0.0007, 4e-05, 'ExponentialLR')",0.0006940177057954
ParticleNet-model15,"(64, 'Adadelta', 0.0034, 0.00022, 'CyclicLR')",0.0006721433475643
